Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
Parkinsons,0.6,374,94,0,Voronoi Mesh,5.5034019947052,0.008594989776611328,-0.278267765662,7.47252421154,2.36729999881,2.55092974193
Parkinsons,0.6,374,94,1,Max Box Mesh,2.9477970600128174,0.0032269954681396484,-0.987767179906,4.46023573585,-0.359610720567,-0.114741410411
Parkinsons,0.6,374,94,1,Iterative Box Mesh,3.0421109199523926,0.0033216476440429688,-52.0319978668,54.097681887,-0.279954723787,0.060109575709
Parkinsons,0.6,374,94,1,Voronoi Mesh,5.870843887329102,0.008491992950439453,-0.136593530118,8.50896395711,2.30935389564,2.46181665057
Parkinsons,0.6,374,94,2,Max Box Mesh,3.1571290493011475,0.003337860107421875,-0.957379531696,6.58006689367,-0.344448529935,-0.140306431455
Parkinsons,0.6,374,94,2,Iterative Box Mesh,3.070653200149536,0.003153085708618164,-11.114607831,35.2672739784,-0.0490987947648,0.47542256199
Parkinsons,0.6,374,94,2,Voronoi Mesh,5.808984994888306,0.008593082427978516,0.0624270931286,7.84196575356,2.10110759355,2.37953391759
Parkinsons,0.6,374,94,3,Max Box Mesh,2.425499200820923,0.0029120445251464844,-0.9989544015,31.4790869227,-0.376041043804,0.18126242307
Parkinsons,0.6,374,94,3,Iterative Box Mesh,3.0848848819732666,0.003390789031982422,-71.9297203461,2329.22072531,-0.107348456532,26.4116272145
Parkinsons,0.6,374,94,3,Voronoi Mesh,5.814532041549683,0.008701086044311523,-0.0386117399914,8.66932638743,2.34365157789,2.60726983912
Parkinsons,0.6,374,94,4,Max Box Mesh,2.538712978363037,0.003013134002685547,-0.916753655325,3.38637166225,-0.424334820041,-0.222051235247
Parkinsons,0.6,374,94,4,Iterative Box Mesh,2.772392988204956,0.0030879974365234375,-7.58283735713,8.22248787639,-0.123291903066,-0.094312297864
Parkinsons,0.6,374,94,4,Voronoi Mesh,5.460559844970703,0.008416175842285156,-0.116380737025,6.75902912846,2.48330602337,2.58306586596
Parkinsons,0.6,374,94,5,Max Box Mesh,2.7253291606903076,0.0030341148376464844,-0.985115026341,5.33364979889,-0.3232429849,-0.0475247803967
Parkinsons,0.6,374,94,5,Iterative Box Mesh,3.035391330718994,0.0033080577850341797,-9.1220684812,73.2420282319,0.149805335361,0.873595260419
Parkinsons,0.6,374,94,5,Voronoi Mesh,5.919299125671387,0.008147954940795898,0.113850337988,7.57073934071,2.31483036203,2.58355201204
Parkinsons,0.6,374,94,6,Max Box Mesh,3.054514169692993,0.003326416015625,-0.862277670538,6.57955135585,-0.234103016273,-0.0315880894583
Parkinsons,0.6,374,94,6,Iterative Box Mesh,2.9745919704437256,0.003200054168701172,-9.18147042993,11.3413550151,0.209366513168,0.174611354277
Parkinsons,0.6,374,94,6,Voronoi Mesh,7.938375949859619,0.023692607879638672,0.246573584477,7.40843101047,2.49190542165,2.60762435499
Parkinsons,0.6,374,94,7,Max Box Mesh,4.985300064086914,0.004230976104736328,-0.971234165308,3.36938663192,-0.365413051895,-0.0273808131875
Parkinsons,0.6,374,94,7,Iterative Box Mesh,3.8649709224700928,0.004186868667602539,-22.1019166076,60.7932979402,-0.0688505781268,-0.00953996101999
Parkinsons,0.6,374,94,7,Voronoi Mesh,7.350632905960083,0.009192943572998047,-0.326122995403,7.39982323119,2.24584415192,2.42896447618
Parkinsons,0.6,374,94,8,Max Box Mesh,2.686066150665283,0.002914905548095703,-0.896278279243,11.846207541,-0.352280486409,-0.0477057749352
